a,b,K,N,epsilon,Best x,Best f(x),Initial Population
-7,7,8,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1101100010000111', '1111011101101100', '1110001101010101', '0001100011110001', '0000010110010010', '1101011110111011', '1100110011110100', '1010110111010000']"
-7,7,12,100,0.001,-0.0676127260242616,-0.17037852301502615,"['0100000001100000', '1010110110011000', '1110100110001101', '0101111001111100', '0001011100110110', '1110101010000111', '1011000000110101', '0110010110001101', '0011011111101101', '0111100000100100', '0111011110010001', '0011001000100001']"
-7,7,16,100,0.001,-0.0676127260242616,-0.17037852301502615,"['1001001100100110', '0110000101110110', '0001001010110011', '0001010100111111', '1000000101011001', '0111111001001110', '0010000001001000', '1110011001001000', '1001011100001001', '0011010000001011', '1110100010100101', '0111101001000110', '1010101000011110', '0001101100110001', '1010110010010110', '1111000111100001']"
-7,7,20,100,0.001,-0.0676127260242616,-0.17037852301502615,"['0000101010100100', '1111110011101011', '0010101011111101', '1010110100111101', '1101101000001010', '1011100010010010', '0000101111011011', '1110100100111011', '0010001100011001', '1111111111010000', '0111000101001011', '0100110110001000', '0010100100101110', '1110110010011000', '0001010110001000', '0111101110101011', '1011011001111001', '0110010011110100', '1000110101000011', '0100000111111100']"
-7,7,24,100,0.001,-0.0676127260242616,-0.17037852301502615,"['0000111000101100', '0000111111101101', '0111101001000010', '0100101000111010', '0100100001110110', '1111001101101000', '0110001101000100', '1101011111011101', '0101100111011110', '1000010000101110', '0000101001011111', '1111010111001111', '1100001111110000', '1111010001110100', '0011111110110100', '1111011101011101', '1111101000111010', '1011100000111111', '0110011100010011', '0001101110101001', '1010110010101000', '0010010010101101', '1101100011000110', '1101011001001110']"
-7,7,28,100,0.001,-0.0676127260242616,-0.17037852301502615,"['0000001000100100', '0001011001111001', '1100101110110101', '0010010100011110', '0100000111110100', '0011101100101101', '0100011010101001', '1100100100010010', '1101000000111111', '1100110000010010', '0101010001000000', '1011110010011001', '1010011101111110', '0010001110101001', '1000001101111011', '0011110111101111', '1010011111000011', '1110011001101110', '0011111101101000', '0000110111110111', '1000100111000000', '1011000100000010', '1110011100011111', '1101111011110000', '1011000110101000', '1001011000100000', '0010101110010100', '1101100000011101']"
-7,7,4,30,0.001,-0.05329976348516041,-0.1627054403476852,"['1010011101111100', '0001010110110111', '0111101110011110', '1100000110101000']"
-7,7,8,30,0.001,-0.06868085755703035,-0.1703281527233346,"['0100001110001000', '0001010100101001', '1101101100111101', '1010010000100011', '0011100010110101', '1101110001110001', '1111110110110100', '1011001011100111']"
-7,7,12,30,0.001,-0.0676127260242616,-0.17037852301502615,"['1011001111111101', '1101101000011101', '0011000110000101', '0010011001001110', '1000000110011101', '0100011111110110', '0111000110110101', '1000011010110101', '0001001100111100', '0111010110000111', '1010010011111110', '1010110110001010']"
-7,7,16,30,0.001,-0.0676127260242616,-0.17037852301502615,"['0000111110001011', '0100011101110001', '1110001111100111', '1111010000100101', '1111001110100111', '1111001110111011', '0111110011011001', '1001011000110110', '1111110100111000', '1001010000000100', '1101101111101011', '0011100110111000', '1001011111101100', '1111101100010011', '1011000111000110', '0101110100011110']"
